comment_text,external_id,is_seed,created_at,moderation_status
Public transport reliability should be tracked with monthly public dashboards.,fa247ebe-e476-489f-9357-908aba1e855a,True,2026-03-01T06:34:08.362633+00:00,approved
We need clearer service-level targets for volunteer onboarding speed.,9081edd1-1aab-4b57-afea-de23b5c58a39,True,2026-02-17T03:21:08.362633+00:00,approved
Funding for neighborhood safety improvements should prioritize high-need districts.,66a8dca6-c3be-42a6-aa9a-f8ae9d7ea21a,True,2026-02-22T02:10:08.362633+00:00,approved
Teams should publish implementation milestones for healthcare appointment waiting times.,a3bd96ff-2914-40be-8e4e-f937cb0f7066,True,2026-03-03T05:02:08.362633+00:00,approved
Residents should be consulted before major changes in digital government services.,9e1dfd0b-e271-4490-926c-4e5115832e60,True,2026-03-03T02:32:08.362633+00:00,approved
Independent audits would improve trust in affordable housing policies decisions.,83e30978-373a-478b-8e47-2e520061e01c,True,2026-03-04T11:36:08.362633+00:00,approved
Road safety near schools should be tracked with monthly public dashboards.,937be64f-1d96-47b2-9f39-7d33bff05efd,True,2026-02-18T08:05:08.362633+00:00,approved
We need clearer service-level targets for air quality monitoring.,9aa19aa5-2b13-4acf-99fb-a6eed44ccfdb,True,2026-03-05T16:00:08.362633+00:00,approved
Funding for water infrastructure upgrades should prioritize high-need districts.,f4f2c4da-5751-447b-af86-3480e96a9fba,True,2026-02-18T01:39:08.362633+00:00,approved
Teams should publish implementation milestones for small business licensing process.,a9d3693a-8e24-49e1-b11b-61fa9bb8bcb4,True,2026-02-24T04:00:08.362633+00:00,approved
Residents should be consulted before major changes in youth employment opportunities.,64b68ea0-5847-4871-84ea-3f02646d6539,True,2026-03-05T22:27:08.362633+00:00,approved
Independent audits would improve trust in waste management standards decisions.,7eb6c08d-e6d4-4b40-8645-882ac31c93f8,True,2026-03-04T03:23:08.362633+00:00,approved
Public procurement transparency should be tracked with monthly public dashboards.,af6161eb-5ba3-4ee4-9ec4-522809c75404,True,2026-02-13T15:04:08.362633+00:00,approved
We need clearer service-level targets for local budget participation.,16551baf-5e0d-4661-89a2-d32d1deee0fa,True,2026-02-22T19:03:08.362633+00:00,approved
Funding for access for people with disabilities should prioritize high-need districts.,5c810c4f-bd9e-4442-bb62-a319acaf443e,True,2026-03-03T17:57:08.362633+00:00,approved
Teams should publish implementation milestones for regional internet access.,e5a541b8-3613-432b-8505-b3f8b53bd296,True,2026-02-15T11:14:08.362633+00:00,approved
Residents should be consulted before major changes in teacher training support.,0dd570eb-151f-429e-a774-c8d2f0bfda99,True,2026-02-16T03:34:08.362633+00:00,approved
Independent audits would improve trust in emergency response readiness decisions.,9fe9c617-4b16-4c4a-976c-de883b16cbac,True,2026-02-15T10:49:08.362633+00:00,approved
Community mediation programs should be tracked with monthly public dashboards.,8e3a98ac-214f-4b35-a5f9-f09e558bb719,True,2026-02-25T04:01:08.362633+00:00,approved
We need clearer service-level targets for public park maintenance.,1546a631-6e0b-465e-9634-6fa545214720,True,2026-02-21T12:58:08.362633+00:00,approved
Funding for public transport reliability should prioritize high-need districts.,bda2faf3-f5da-4be9-bfec-cd264282617c,True,2026-02-18T09:03:08.362633+00:00,approved
Teams should publish implementation milestones for volunteer onboarding speed.,f96d95ae-84dd-4c87-87b4-16a01e36735d,True,2026-02-17T19:56:08.362633+00:00,approved
Residents should be consulted before major changes in neighborhood safety improvements.,d1da6033-0418-4347-8329-d09dec535604,True,2026-03-04T13:05:08.362633+00:00,approved
Independent audits would improve trust in healthcare appointment waiting times decisions.,e8dbc6c2-8a1b-489f-be6c-4c4292ce7298,True,2026-03-01T18:02:08.362633+00:00,approved
Digital government services should be tracked with monthly public dashboards.,e5e5fe1b-7b41-45ec-b0e1-69a79253f557,True,2026-03-04T13:01:08.362633+00:00,approved
We need clearer service-level targets for affordable housing policies.,5a408259-a001-40e6-b2c0-de6ed2bc462f,True,2026-03-05T04:04:08.362633+00:00,approved
Funding for road safety near schools should prioritize high-need districts.,17779bf0-a940-4bd9-a964-2d20a5c357b8,True,2026-02-13T14:25:08.362633+00:00,approved
Teams should publish implementation milestones for air quality monitoring.,a58b84e1-4265-4779-86ea-b658c1ebe079,True,2026-03-04T23:32:08.362633+00:00,approved
Residents should be consulted before major changes in water infrastructure upgrades.,b79ff1d3-94a9-464f-9e9f-b9291972b0f5,True,2026-03-03T03:40:08.362633+00:00,approved
Independent audits would improve trust in small business licensing process decisions.,e8a88e47-f4da-400f-8af1-512412d170ed,True,2026-02-26T09:38:08.362633+00:00,approved
Youth employment opportunities should be tracked with monthly public dashboards.,bb4ea58f-c0a3-410a-98cb-b612290b912b,True,2026-02-27T14:30:08.362633+00:00,approved
We need clearer service-level targets for waste management standards.,1769e303-1d8e-4917-a287-03a060aaa984,True,2026-02-15T05:14:08.362633+00:00,approved
Funding for public procurement transparency should prioritize high-need districts.,cf3d4f6f-f334-4324-b3dd-0077f24d2e93,True,2026-03-01T09:40:08.362633+00:00,approved
Teams should publish implementation milestones for local budget participation.,7c6e6b95-d267-4207-995f-ab4632e6eee3,True,2026-02-17T16:39:08.362633+00:00,approved
Residents should be consulted before major changes in access for people with disabilities.,f0d56c90-9950-4b1a-8a11-fddbe732279c,True,2026-02-23T12:45:08.362633+00:00,approved
Independent audits would improve trust in regional internet access decisions.,f47d34b1-a5e5-478b-aadd-e9b289ca99a5,True,2026-02-16T02:35:08.362633+00:00,approved
Teacher training support should be tracked with monthly public dashboards.,45a6c991-5686-4f1e-b9c7-d445f7c1ca62,True,2026-02-16T11:28:08.362633+00:00,approved
We need clearer service-level targets for emergency response readiness.,17f34f79-f106-46c5-ac36-cb89ca37924b,True,2026-02-15T18:26:08.362633+00:00,approved
Funding for community mediation programs should prioritize high-need districts.,0d94f87e-6a20-4fe5-9fff-a6718348bbcd,True,2026-03-01T11:23:08.362633+00:00,approved
Teams should publish implementation milestones for public park maintenance.,84d5d9b7-1c49-438b-82af-2101f8cb1709,True,2026-02-19T01:59:08.362633+00:00,approved
Residents should be consulted before major changes in public transport reliability.,8bd80e5f-0618-428b-bb18-b1067d6aa7bf,True,2026-02-18T12:43:08.362633+00:00,approved
Independent audits would improve trust in volunteer onboarding speed decisions.,1d8b058a-2662-4958-bb3f-4019882eb9cb,True,2026-03-05T12:34:08.362633+00:00,approved
Neighborhood safety improvements should be tracked with monthly public dashboards.,1dfded31-7487-4a94-979f-e9a87d2428e4,True,2026-02-22T18:52:08.362633+00:00,approved
We need clearer service-level targets for healthcare appointment waiting times.,d1d32a76-595e-46af-96e3-4abe60957e4c,True,2026-02-21T11:28:08.362633+00:00,approved
Funding for digital government services should prioritize high-need districts.,cd5d90b6-1160-4470-a76b-e6389b3e44b0,True,2026-02-28T21:14:08.362633+00:00,approved
Teams should publish implementation milestones for affordable housing policies.,89b31bf6-9477-445c-9da8-3e9ea8ded2e6,True,2026-03-05T17:57:08.362633+00:00,approved
Residents should be consulted before major changes in road safety near schools.,a379f2e6-5d65-45cc-9b3b-2323ede186da,True,2026-03-03T11:11:08.362633+00:00,approved
Independent audits would improve trust in air quality monitoring decisions.,f363f22a-e78d-406c-9104-7bf09154418f,True,2026-02-15T14:58:08.362633+00:00,approved
Water infrastructure upgrades should be tracked with monthly public dashboards.,ba5a25d3-ac6e-43ab-b391-46770257930e,True,2026-02-15T08:53:08.362633+00:00,approved
We need clearer service-level targets for small business licensing process.,a2fb4a85-ca88-4b66-8a2e-f46a37984225,True,2026-03-06T05:21:08.362633+00:00,approved
Funding for youth employment opportunities should prioritize high-need districts.,e80f561d-ddd0-4413-b999-e2bb52e4047b,True,2026-03-01T05:06:08.362633+00:00,approved
Teams should publish implementation milestones for waste management standards.,4ad08cbe-b8d9-4414-af1f-a4bdb58a74b5,True,2026-02-14T12:57:08.362633+00:00,approved
Residents should be consulted before major changes in public procurement transparency.,59ceeda8-934d-4c42-a0f9-147dee5fabae,True,2026-03-03T19:32:08.362633+00:00,approved
Independent audits would improve trust in local budget participation decisions.,b9e10e6a-3ddd-4ca5-a4f1-2434128a91bc,True,2026-03-02T09:14:08.362633+00:00,approved
Access for people with disabilities should be tracked with monthly public dashboards.,8630b40f-684e-4566-8b6e-d0dcd2e300ef,True,2026-03-02T03:05:08.362633+00:00,approved
We need clearer service-level targets for regional internet access.,b55099d9-5da1-4c0b-b0b5-4fca8c1729e1,True,2026-03-02T18:55:08.362633+00:00,approved
Funding for teacher training support should prioritize high-need districts.,0b6fffc7-83ba-41ce-99b0-0201774cd774,True,2026-02-24T05:58:08.362633+00:00,approved
Teams should publish implementation milestones for emergency response readiness.,2070d852-d291-48d3-98f1-96a9f6adc337,True,2026-03-04T02:45:08.362633+00:00,approved
Residents should be consulted before major changes in community mediation programs.,b026fcb0-b20d-40fb-bed3-8da27482d1fb,True,2026-02-15T14:22:08.362633+00:00,approved
Independent audits would improve trust in public park maintenance decisions.,35c8e903-7fb1-4372-9a6d-7a20d2c6529c,True,2026-02-19T23:48:08.362633+00:00,approved
Public transport reliability should be tracked with monthly public dashboards.,0e79527a-2401-4a11-a981-36e3f27efc19,True,2026-02-25T13:08:08.362633+00:00,approved
We need clearer service-level targets for volunteer onboarding speed.,175e34f0-f69d-4af2-bdf6-16a4256aec35,True,2026-02-16T13:32:08.362633+00:00,approved
Funding for neighborhood safety improvements should prioritize high-need districts.,cfaa13c3-c781-4ae9-8395-576fb8d279b4,True,2026-03-04T11:43:08.362633+00:00,approved
Teams should publish implementation milestones for healthcare appointment waiting times.,f527bb2b-0b46-403a-8f98-3124f8c128c9,True,2026-03-05T23:19:08.362633+00:00,approved
Residents should be consulted before major changes in digital government services.,79a98fa9-c06f-4d44-86cc-ac73bb820052,True,2026-02-17T07:12:08.362633+00:00,approved
Independent audits would improve trust in affordable housing policies decisions.,fe2d8150-5ce0-474b-84d6-cfab91e96c56,True,2026-02-18T21:34:08.362633+00:00,approved
Road safety near schools should be tracked with monthly public dashboards.,8cffd3c3-7ffc-4482-8198-a8ed3378dc24,True,2026-02-22T03:02:08.362633+00:00,approved
We need clearer service-level targets for air quality monitoring.,1abf218f-e429-422f-998e-1cf10bb1b980,True,2026-02-24T09:54:08.362633+00:00,approved
Funding for water infrastructure upgrades should prioritize high-need districts.,b13b1609-16af-4770-8add-e5d7d1892d4b,True,2026-03-05T08:59:08.362633+00:00,approved
Teams should publish implementation milestones for small business licensing process.,8ebe3f94-ff48-4f4e-997d-0cd69fa6d389,True,2026-02-19T22:41:08.362633+00:00,approved
Residents should be consulted before major changes in youth employment opportunities.,ca656526-ac67-4964-9fb6-5059586b8031,False,2026-02-21T04:33:08.362633+00:00,pending
Independent audits would improve trust in waste management standards decisions.,550127da-f5bc-4ab0-ac17-abe7909be1d3,False,2026-02-15T07:32:08.362633+00:00,rejected
Public procurement transparency should be tracked with monthly public dashboards.,ca53ec45-6c93-4d38-b724-f2a6ace923c5,False,2026-03-05T06:24:08.362633+00:00,pending
We need clearer service-level targets for local budget participation.,1ddf2a8f-6057-45f5-a80e-5a4ca06cd696,False,2026-03-02T06:20:08.362633+00:00,pending
Funding for access for people with disabilities should prioritize high-need districts.,e31d3033-c361-488c-984f-06cb566e1235,False,2026-02-16T16:08:08.362633+00:00,approved
Teams should publish implementation milestones for regional internet access.,5b2107db-96eb-4b1a-a3f3-31a289cbaae4,False,2026-02-26T12:36:08.362633+00:00,pending
Residents should be consulted before major changes in teacher training support.,d888370d-0068-444f-90e0-627c961f7ead,False,2026-02-21T22:13:08.362633+00:00,pending
Independent audits would improve trust in emergency response readiness decisions.,cd624e61-7d18-4810-a559-46ad29b62046,False,2026-02-22T15:30:08.362633+00:00,approved
Community mediation programs should be tracked with monthly public dashboards.,b64cd81f-f0f2-4ccc-a026-66e41baefb09,False,2026-02-28T01:13:08.362633+00:00,approved
We need clearer service-level targets for public park maintenance.,c9781a1d-0e84-41a4-b986-61e8c6a182ae,False,2026-02-18T04:27:08.362633+00:00,pending
Funding for public transport reliability should prioritize high-need districts.,0aa42bc2-1e4c-4ccf-b70a-4e3ae9e69778,False,2026-03-01T04:11:08.362633+00:00,rejected
Teams should publish implementation milestones for volunteer onboarding speed.,31c465d0-3ab3-414a-880d-ba33d0e3fe45,False,2026-02-22T18:43:08.362633+00:00,rejected
Residents should be consulted before major changes in neighborhood safety improvements.,57596f4c-b4e7-45fa-a77d-c569a82369e9,False,2026-02-19T11:44:08.362633+00:00,rejected
Independent audits would improve trust in healthcare appointment waiting times decisions.,48312bc4-88ea-4df9-9ffa-9b4f8ed5cc53,False,2026-02-18T23:23:08.362633+00:00,rejected
Digital government services should be tracked with monthly public dashboards.,d231b7ba-1ab4-41c5-be96-ff5bfe051605,False,2026-02-27T04:32:08.362633+00:00,pending
We need clearer service-level targets for affordable housing policies.,9ca3b971-ce17-420d-8e46-45ec1acfaee6,False,2026-02-20T18:22:08.362633+00:00,rejected
Funding for road safety near schools should prioritize high-need districts.,7a397745-25a1-422d-b0c9-417efe6328ed,False,2026-02-21T23:48:08.362633+00:00,rejected
Teams should publish implementation milestones for air quality monitoring.,db49cf68-8383-4dcf-8a9f-a8f3d92dd6a2,False,2026-03-04T01:47:08.362633+00:00,rejected
Residents should be consulted before major changes in water infrastructure upgrades.,888bf3fe-c0ce-40d4-a9b8-88287c3cee10,False,2026-02-24T02:17:08.362633+00:00,pending
Independent audits would improve trust in small business licensing process decisions.,8cc20917-d553-432c-b6fd-3edfbf2109de,False,2026-02-17T23:19:08.362633+00:00,approved
Youth employment opportunities should be tracked with monthly public dashboards.,380ef055-9993-4926-9381-6dbfb808355e,False,2026-02-24T21:02:08.362633+00:00,pending
We need clearer service-level targets for waste management standards.,aff330e4-e8bd-4128-9f5b-40e11bb1607a,False,2026-02-13T18:34:08.362633+00:00,approved
Funding for public procurement transparency should prioritize high-need districts.,4583fa7c-5796-4849-8cf1-87983c6035c4,False,2026-02-17T04:13:08.362633+00:00,rejected
Teams should publish implementation milestones for local budget participation.,c44a9269-4f85-4e53-98f2-9fdbe6889245,False,2026-02-21T07:20:08.362633+00:00,pending
Residents should be consulted before major changes in access for people with disabilities.,0e963e01-6e35-4186-aa07-f572b5689140,False,2026-02-28T06:03:08.362633+00:00,rejected
Independent audits would improve trust in regional internet access decisions.,5a6293c2-055b-4554-aaba-4fcf2da0cef1,False,2026-02-18T15:46:08.362633+00:00,approved
Teacher training support should be tracked with monthly public dashboards.,28d87aa4-3411-48b2-ab88-d79f3daeb8c3,False,2026-02-21T20:25:08.362633+00:00,rejected
We need clearer service-level targets for emergency response readiness.,edb2b846-6281-4512-a32d-0deec82e4fea,False,2026-02-22T04:56:08.362633+00:00,pending
Funding for community mediation programs should prioritize high-need districts.,a86baaae-aca2-4410-bb32-d5b472f7e871,False,2026-03-01T18:18:08.362633+00:00,pending
Teams should publish implementation milestones for public park maintenance.,a859853b-6a2b-4795-be9f-78df14f8a122,False,2026-03-03T14:25:08.362633+00:00,pending
Residents should be consulted before major changes in public transport reliability.,4d837d96-7b2e-4e7c-90cd-354ad1a287ba,False,2026-03-02T01:47:08.362633+00:00,approved
Independent audits would improve trust in volunteer onboarding speed decisions.,7002279a-7e2c-40d6-994f-1838e438a2e0,False,2026-03-01T11:40:08.362633+00:00,pending
Neighborhood safety improvements should be tracked with monthly public dashboards.,15cca5a5-c827-4e2c-8d05-e3b1194648e9,False,2026-02-15T11:27:08.362633+00:00,approved
We need clearer service-level targets for healthcare appointment waiting times.,d7ccbac9-538b-4392-b66d-38168d8a4edf,False,2026-02-14T00:43:08.362633+00:00,pending
Funding for digital government services should prioritize high-need districts.,969eca50-04c6-41d6-8de7-38ad756a5364,False,2026-02-27T02:08:08.362633+00:00,pending
Teams should publish implementation milestones for affordable housing policies.,58caa3df-2e86-47d5-b1b4-e3b2cbfb22e7,False,2026-03-01T10:38:08.362633+00:00,pending
Residents should be consulted before major changes in road safety near schools.,ca0f90db-6c37-4b80-b2db-445c3e1a82bf,False,2026-02-20T13:49:08.362633+00:00,approved
Independent audits would improve trust in air quality monitoring decisions.,6124656a-5070-49f9-baf7-8e3d89235742,False,2026-02-24T04:30:08.362633+00:00,approved
Water infrastructure upgrades should be tracked with monthly public dashboards.,02038292-f1d6-4544-a782-ade4c1838fc7,False,2026-02-27T02:36:08.362633+00:00,pending
We need clearer service-level targets for small business licensing process.,89aa8931-caaf-4b67-87d7-e779c461ecd6,False,2026-03-04T02:13:08.362633+00:00,pending
Funding for youth employment opportunities should prioritize high-need districts.,08a433a5-cddc-4f00-86fa-865aa2a44e92,False,2026-02-21T06:58:08.362633+00:00,pending
Teams should publish implementation milestones for waste management standards.,be8479b6-a8a8-4bff-a678-d7629ebd46f4,False,2026-03-03T08:43:08.362633+00:00,pending
Residents should be consulted before major changes in public procurement transparency.,d9ba479d-8e8a-4c98-8e3b-143827b7869c,False,2026-02-20T22:50:08.362633+00:00,pending
Independent audits would improve trust in local budget participation decisions.,8b9b2181-a967-4061-9eb7-e836017abd4e,False,2026-03-06T04:11:08.362633+00:00,rejected
Access for people with disabilities should be tracked with monthly public dashboards.,391f2484-7eea-4a7b-9de7-c2e53cb8c10a,False,2026-03-01T03:36:08.362633+00:00,approved
We need clearer service-level targets for regional internet access.,43b4f2b5-64ce-4698-9ba9-1047aad38f94,False,2026-02-21T08:12:08.362633+00:00,approved
Funding for teacher training support should prioritize high-need districts.,fd01692b-bbaf-4670-ae48-da24da8745f5,False,2026-02-15T07:18:08.362633+00:00,rejected
Teams should publish implementation milestones for emergency response readiness.,a736dd11-4464-40f0-acdf-62d74155c387,False,2026-02-22T17:27:08.362633+00:00,pending
Residents should be consulted before major changes in community mediation programs.,a2a8341d-6580-4c3d-bf02-c242701c6314,False,2026-02-27T18:00:08.362633+00:00,approved
Independent audits would improve trust in public park maintenance decisions.,4319684d-41ba-461e-acd9-5f3d8f54a9b5,False,2026-02-25T23:45:08.362633+00:00,approved
