external_id,comment_text,status,is_seed
fa247ebe-e476-489f-9357-908aba1e855a,Public transport reliability should be tracked with monthly public dashboards.,approved,true
9081edd1-1aab-4b57-afea-de23b5c58a39,We need clearer service-level targets for volunteer onboarding speed.,approved,true
66a8dca6-c3be-42a6-aa9a-f8ae9d7ea21a,Funding for neighborhood safety improvements should prioritize high-need districts.,approved,true
a3bd96ff-2914-40be-8e4e-f937cb0f7066,Teams should publish implementation milestones for healthcare appointment waiting times.,approved,true
9e1dfd0b-e271-4490-926c-4e5115832e60,Residents should be consulted before major changes in digital government services.,approved,true
83e30978-373a-478b-8e47-2e520061e01c,Independent audits would improve trust in affordable housing policies decisions.,approved,true
937be64f-1d96-47b2-9f39-7d33bff05efd,Road safety near schools should be tracked with monthly public dashboards.,approved,true
9aa19aa5-2b13-4acf-99fb-a6eed44ccfdb,We need clearer service-level targets for air quality monitoring.,approved,true
f4f2c4da-5751-447b-af86-3480e96a9fba,Funding for water infrastructure upgrades should prioritize high-need districts.,approved,true
a9d3693a-8e24-49e1-b11b-61fa9bb8bcb4,Teams should publish implementation milestones for small business licensing process.,approved,true
64b68ea0-5847-4871-84ea-3f02646d6539,Residents should be consulted before major changes in youth employment opportunities.,approved,true
7eb6c08d-e6d4-4b40-8645-882ac31c93f8,Independent audits would improve trust in waste management standards decisions.,approved,true
af6161eb-5ba3-4ee4-9ec4-522809c75404,Public procurement transparency should be tracked with monthly public dashboards.,approved,true
16551baf-5e0d-4661-89a2-d32d1deee0fa,We need clearer service-level targets for local budget participation.,approved,true
5c810c4f-bd9e-4442-bb62-a319acaf443e,Funding for access for people with disabilities should prioritize high-need districts.,approved,true
e5a541b8-3613-432b-8505-b3f8b53bd296,Teams should publish implementation milestones for regional internet access.,approved,true
0dd570eb-151f-429e-a774-c8d2f0bfda99,Residents should be consulted before major changes in teacher training support.,approved,true
9fe9c617-4b16-4c4a-976c-de883b16cbac,Independent audits would improve trust in emergency response readiness decisions.,approved,true
8e3a98ac-214f-4b35-a5f9-f09e558bb719,Community mediation programs should be tracked with monthly public dashboards.,approved,true
1546a631-6e0b-465e-9634-6fa545214720,We need clearer service-level targets for public park maintenance.,approved,true
bda2faf3-f5da-4be9-bfec-cd264282617c,Funding for public transport reliability should prioritize high-need districts.,approved,true
f96d95ae-84dd-4c87-87b4-16a01e36735d,Teams should publish implementation milestones for volunteer onboarding speed.,approved,true
d1da6033-0418-4347-8329-d09dec535604,Residents should be consulted before major changes in neighborhood safety improvements.,approved,true
e8dbc6c2-8a1b-489f-be6c-4c4292ce7298,Independent audits would improve trust in healthcare appointment waiting times decisions.,approved,true
e5e5fe1b-7b41-45ec-b0e1-69a79253f557,Digital government services should be tracked with monthly public dashboards.,approved,true
5a408259-a001-40e6-b2c0-de6ed2bc462f,We need clearer service-level targets for affordable housing policies.,approved,true
17779bf0-a940-4bd9-a964-2d20a5c357b8,Funding for road safety near schools should prioritize high-need districts.,approved,true
a58b84e1-4265-4779-86ea-b658c1ebe079,Teams should publish implementation milestones for air quality monitoring.,approved,true
b79ff1d3-94a9-464f-9e9f-b9291972b0f5,Residents should be consulted before major changes in water infrastructure upgrades.,approved,true
e8a88e47-f4da-400f-8af1-512412d170ed,Independent audits would improve trust in small business licensing process decisions.,approved,true
bb4ea58f-c0a3-410a-98cb-b612290b912b,Youth employment opportunities should be tracked with monthly public dashboards.,approved,true
1769e303-1d8e-4917-a287-03a060aaa984,We need clearer service-level targets for waste management standards.,approved,true
cf3d4f6f-f334-4324-b3dd-0077f24d2e93,Funding for public procurement transparency should prioritize high-need districts.,approved,true
7c6e6b95-d267-4207-995f-ab4632e6eee3,Teams should publish implementation milestones for local budget participation.,approved,true
f0d56c90-9950-4b1a-8a11-fddbe732279c,Residents should be consulted before major changes in access for people with disabilities.,approved,true
f47d34b1-a5e5-478b-aadd-e9b289ca99a5,Independent audits would improve trust in regional internet access decisions.,approved,true
45a6c991-5686-4f1e-b9c7-d445f7c1ca62,Teacher training support should be tracked with monthly public dashboards.,approved,true
17f34f79-f106-46c5-ac36-cb89ca37924b,We need clearer service-level targets for emergency response readiness.,approved,true
0d94f87e-6a20-4fe5-9fff-a6718348bbcd,Funding for community mediation programs should prioritize high-need districts.,approved,true
84d5d9b7-1c49-438b-82af-2101f8cb1709,Teams should publish implementation milestones for public park maintenance.,approved,true
8bd80e5f-0618-428b-bb18-b1067d6aa7bf,Residents should be consulted before major changes in public transport reliability.,approved,true
1d8b058a-2662-4958-bb3f-4019882eb9cb,Independent audits would improve trust in volunteer onboarding speed decisions.,approved,true
1dfded31-7487-4a94-979f-e9a87d2428e4,Neighborhood safety improvements should be tracked with monthly public dashboards.,approved,true
d1d32a76-595e-46af-96e3-4abe60957e4c,We need clearer service-level targets for healthcare appointment waiting times.,approved,true
cd5d90b6-1160-4470-a76b-e6389b3e44b0,Funding for digital government services should prioritize high-need districts.,approved,true
89b31bf6-9477-445c-9da8-3e9ea8ded2e6,Teams should publish implementation milestones for affordable housing policies.,approved,true
a379f2e6-5d65-45cc-9b3b-2323ede186da,Residents should be consulted before major changes in road safety near schools.,approved,true
f363f22a-e78d-406c-9104-7bf09154418f,Independent audits would improve trust in air quality monitoring decisions.,approved,true
ba5a25d3-ac6e-43ab-b391-46770257930e,Water infrastructure upgrades should be tracked with monthly public dashboards.,approved,true
a2fb4a85-ca88-4b66-8a2e-f46a37984225,We need clearer service-level targets for small business licensing process.,approved,true
e80f561d-ddd0-4413-b999-e2bb52e4047b,Funding for youth employment opportunities should prioritize high-need districts.,approved,true
4ad08cbe-b8d9-4414-af1f-a4bdb58a74b5,Teams should publish implementation milestones for waste management standards.,approved,true
59ceeda8-934d-4c42-a0f9-147dee5fabae,Residents should be consulted before major changes in public procurement transparency.,approved,true
b9e10e6a-3ddd-4ca5-a4f1-2434128a91bc,Independent audits would improve trust in local budget participation decisions.,approved,true
8630b40f-684e-4566-8b6e-d0dcd2e300ef,Access for people with disabilities should be tracked with monthly public dashboards.,approved,true
b55099d9-5da1-4c0b-b0b5-4fca8c1729e1,We need clearer service-level targets for regional internet access.,approved,true
0b6fffc7-83ba-41ce-99b0-0201774cd774,Funding for teacher training support should prioritize high-need districts.,approved,true
2070d852-d291-48d3-98f1-96a9f6adc337,Teams should publish implementation milestones for emergency response readiness.,approved,true
b026fcb0-b20d-40fb-bed3-8da27482d1fb,Residents should be consulted before major changes in community mediation programs.,approved,true
35c8e903-7fb1-4372-9a6d-7a20d2c6529c,Independent audits would improve trust in public park maintenance decisions.,approved,true
0e79527a-2401-4a11-a981-36e3f27efc19,Public transport reliability should be tracked with monthly public dashboards.,approved,true
175e34f0-f69d-4af2-bdf6-16a4256aec35,We need clearer service-level targets for volunteer onboarding speed.,approved,true
cfaa13c3-c781-4ae9-8395-576fb8d279b4,Funding for neighborhood safety improvements should prioritize high-need districts.,approved,true
f527bb2b-0b46-403a-8f98-3124f8c128c9,Teams should publish implementation milestones for healthcare appointment waiting times.,approved,true
79a98fa9-c06f-4d44-86cc-ac73bb820052,Residents should be consulted before major changes in digital government services.,approved,true
fe2d8150-5ce0-474b-84d6-cfab91e96c56,Independent audits would improve trust in affordable housing policies decisions.,approved,true
8cffd3c3-7ffc-4482-8198-a8ed3378dc24,Road safety near schools should be tracked with monthly public dashboards.,approved,true
1abf218f-e429-422f-998e-1cf10bb1b980,We need clearer service-level targets for air quality monitoring.,approved,true
b13b1609-16af-4770-8add-e5d7d1892d4b,Funding for water infrastructure upgrades should prioritize high-need districts.,approved,true
8ebe3f94-ff48-4f4e-997d-0cd69fa6d389,Teams should publish implementation milestones for small business licensing process.,approved,true
ca656526-ac67-4964-9fb6-5059586b8031,Residents should be consulted before major changes in youth employment opportunities.,pending,false
550127da-f5bc-4ab0-ac17-abe7909be1d3,Independent audits would improve trust in waste management standards decisions.,rejected,false
ca53ec45-6c93-4d38-b724-f2a6ace923c5,Public procurement transparency should be tracked with monthly public dashboards.,pending,false
1ddf2a8f-6057-45f5-a80e-5a4ca06cd696,We need clearer service-level targets for local budget participation.,pending,false
e31d3033-c361-488c-984f-06cb566e1235,Funding for access for people with disabilities should prioritize high-need districts.,approved,false
5b2107db-96eb-4b1a-a3f3-31a289cbaae4,Teams should publish implementation milestones for regional internet access.,pending,false
d888370d-0068-444f-90e0-627c961f7ead,Residents should be consulted before major changes in teacher training support.,pending,false
cd624e61-7d18-4810-a559-46ad29b62046,Independent audits would improve trust in emergency response readiness decisions.,approved,false
b64cd81f-f0f2-4ccc-a026-66e41baefb09,Community mediation programs should be tracked with monthly public dashboards.,approved,false
c9781a1d-0e84-41a4-b986-61e8c6a182ae,We need clearer service-level targets for public park maintenance.,pending,false
0aa42bc2-1e4c-4ccf-b70a-4e3ae9e69778,Funding for public transport reliability should prioritize high-need districts.,rejected,false
31c465d0-3ab3-414a-880d-ba33d0e3fe45,Teams should publish implementation milestones for volunteer onboarding speed.,rejected,false
57596f4c-b4e7-45fa-a77d-c569a82369e9,Residents should be consulted before major changes in neighborhood safety improvements.,rejected,false
48312bc4-88ea-4df9-9ffa-9b4f8ed5cc53,Independent audits would improve trust in healthcare appointment waiting times decisions.,rejected,false
d231b7ba-1ab4-41c5-be96-ff5bfe051605,Digital government services should be tracked with monthly public dashboards.,pending,false
9ca3b971-ce17-420d-8e46-45ec1acfaee6,We need clearer service-level targets for affordable housing policies.,rejected,false
7a397745-25a1-422d-b0c9-417efe6328ed,Funding for road safety near schools should prioritize high-need districts.,rejected,false
db49cf68-8383-4dcf-8a9f-a8f3d92dd6a2,Teams should publish implementation milestones for air quality monitoring.,rejected,false
888bf3fe-c0ce-40d4-a9b8-88287c3cee10,Residents should be consulted before major changes in water infrastructure upgrades.,pending,false
8cc20917-d553-432c-b6fd-3edfbf2109de,Independent audits would improve trust in small business licensing process decisions.,approved,false
380ef055-9993-4926-9381-6dbfb808355e,Youth employment opportunities should be tracked with monthly public dashboards.,pending,false
aff330e4-e8bd-4128-9f5b-40e11bb1607a,We need clearer service-level targets for waste management standards.,approved,false
4583fa7c-5796-4849-8cf1-87983c6035c4,Funding for public procurement transparency should prioritize high-need districts.,rejected,false
c44a9269-4f85-4e53-98f2-9fdbe6889245,Teams should publish implementation milestones for local budget participation.,pending,false
0e963e01-6e35-4186-aa07-f572b5689140,Residents should be consulted before major changes in access for people with disabilities.,rejected,false
5a6293c2-055b-4554-aaba-4fcf2da0cef1,Independent audits would improve trust in regional internet access decisions.,approved,false
28d87aa4-3411-48b2-ab88-d79f3daeb8c3,Teacher training support should be tracked with monthly public dashboards.,rejected,false
edb2b846-6281-4512-a32d-0deec82e4fea,We need clearer service-level targets for emergency response readiness.,pending,false
a86baaae-aca2-4410-bb32-d5b472f7e871,Funding for community mediation programs should prioritize high-need districts.,pending,false
a859853b-6a2b-4795-be9f-78df14f8a122,Teams should publish implementation milestones for public park maintenance.,pending,false
4d837d96-7b2e-4e7c-90cd-354ad1a287ba,Residents should be consulted before major changes in public transport reliability.,approved,false
7002279a-7e2c-40d6-994f-1838e438a2e0,Independent audits would improve trust in volunteer onboarding speed decisions.,pending,false
15cca5a5-c827-4e2c-8d05-e3b1194648e9,Neighborhood safety improvements should be tracked with monthly public dashboards.,approved,false
d7ccbac9-538b-4392-b66d-38168d8a4edf,We need clearer service-level targets for healthcare appointment waiting times.,pending,false
969eca50-04c6-41d6-8de7-38ad756a5364,Funding for digital government services should prioritize high-need districts.,pending,false
58caa3df-2e86-47d5-b1b4-e3b2cbfb22e7,Teams should publish implementation milestones for affordable housing policies.,pending,false
ca0f90db-6c37-4b80-b2db-445c3e1a82bf,Residents should be consulted before major changes in road safety near schools.,approved,false
6124656a-5070-49f9-baf7-8e3d89235742,Independent audits would improve trust in air quality monitoring decisions.,approved,false
02038292-f1d6-4544-a782-ade4c1838fc7,Water infrastructure upgrades should be tracked with monthly public dashboards.,pending,false
89aa8931-caaf-4b67-87d7-e779c461ecd6,We need clearer service-level targets for small business licensing process.,pending,false
08a433a5-cddc-4f00-86fa-865aa2a44e92,Funding for youth employment opportunities should prioritize high-need districts.,pending,false
be8479b6-a8a8-4bff-a678-d7629ebd46f4,Teams should publish implementation milestones for waste management standards.,pending,false
d9ba479d-8e8a-4c98-8e3b-143827b7869c,Residents should be consulted before major changes in public procurement transparency.,pending,false
8b9b2181-a967-4061-9eb7-e836017abd4e,Independent audits would improve trust in local budget participation decisions.,rejected,false
391f2484-7eea-4a7b-9de7-c2e53cb8c10a,Access for people with disabilities should be tracked with monthly public dashboards.,approved,false
43b4f2b5-64ce-4698-9ba9-1047aad38f94,We need clearer service-level targets for regional internet access.,approved,false
fd01692b-bbaf-4670-ae48-da24da8745f5,Funding for teacher training support should prioritize high-need districts.,rejected,false
a736dd11-4464-40f0-acdf-62d74155c387,Teams should publish implementation milestones for emergency response readiness.,pending,false
a2a8341d-6580-4c3d-bf02-c242701c6314,Residents should be consulted before major changes in community mediation programs.,approved,false
4319684d-41ba-461e-acd9-5f3d8f54a9b5,Independent audits would improve trust in public park maintenance decisions.,approved,false
